Data;Data;Casos;Casos_por_dia;Obitos_por_dia;;;
02/08/2020;2020-8-2;558685;6367;81;;;"INSERT INTO dados_estado_sp VALUES('2020-8-2', 558685, 6367, 81);"
03/08/2020;2020-8-3;560218;1533;48;;;"INSERT INTO dados_estado_sp VALUES('2020-8-3', 560218, 1533, 48);"
04/08/2020;2020-8-4;575589;15371;337;;;"INSERT INTO dados_estado_sp VALUES('2020-8-4', 575589, 15371, 337);"
05/08/2020;2020-8-5;585265;9676;407;;;"INSERT INTO dados_estado_sp VALUES('2020-8-5', 585265, 9676, 407);"
06/08/2020;2020-8-6;598670;13405;339;;;"INSERT INTO dados_estado_sp VALUES('2020-8-6', 598670, 13405, 339);"
07/08/2020;2020-8-7;608379;9709;287;;;"INSERT INTO dados_estado_sp VALUES('2020-8-7', 608379, 9709, 287);"
08/08/2020;2020-8-8;621731;13352;281;;;"INSERT INTO dados_estado_sp VALUES('2020-8-8', 621731, 13352, 281);"
09/08/2020;2020-8-9;627126;5395;98;;;"INSERT INTO dados_estado_sp VALUES('2020-8-9', 627126, 5395, 98);"
10/08/2020;2020-8-10;628415;1289;37;;;"INSERT INTO dados_estado_sp VALUES('2020-8-10', 628415, 1289, 37);"
11/08/2020;2020-8-11;639562;11147;420;;;"INSERT INTO dados_estado_sp VALUES('2020-8-11', 639562, 11147, 420);"
12/08/2020;2020-8-12;655181;15619;298;;;"INSERT INTO dados_estado_sp VALUES('2020-8-12', 655181, 15619, 298);"
13/08/2020;2020-8-13;674455;19274;455;;;"INSERT INTO dados_estado_sp VALUES('2020-8-13', 674455, 19274, 455);"
14/08/2020;2020-8-14;686122;11667;289;;;"INSERT INTO dados_estado_sp VALUES('2020-8-14', 686122, 11667, 289);"
15/08/2020;2020-8-15;697530;11408;167;;;"INSERT INTO dados_estado_sp VALUES('2020-8-15', 697530, 11408, 167);"
16/08/2020;2020-8-16;699493;1963;72;;;"INSERT INTO dados_estado_sp VALUES('2020-8-16', 699493, 1963, 72);"
17/08/2020;2020-8-17;702665;3172;47;;;"INSERT INTO dados_estado_sp VALUES('2020-8-17', 702665, 3172, 47);"
18/08/2020;2020-8-18;711530;8865;416;;;"INSERT INTO dados_estado_sp VALUES('2020-8-18', 711530, 8865, 416);"
19/08/2020;2020-8-19;721377;9847;276;;;"INSERT INTO dados_estado_sp VALUES('2020-8-19', 721377, 9847, 276);"
20/08/2020;2020-8-20;730828;9451;314;;;"INSERT INTO dados_estado_sp VALUES('2020-8-20', 730828, 9451, 314);"
21/08/2020;2020-8-21;735960;5132;250;;;"INSERT INTO dados_estado_sp VALUES('2020-8-21', 735960, 5132, 250);"
22/08/2020;2020-8-22;749244;13284;237;;;"INSERT INTO dados_estado_sp VALUES('2020-8-22', 749244, 13284, 237);"
23/08/2020;2020-8-23;754129;4885;75;;;"INSERT INTO dados_estado_sp VALUES('2020-8-23', 754129, 4885, 75);"
24/08/2020;2020-8-24;756480;2351;38;;;"INSERT INTO dados_estado_sp VALUES('2020-8-24', 756480, 2351, 38);"
25/08/2020;2020-8-25;765670;9190;407;;;"INSERT INTO dados_estado_sp VALUES('2020-8-25', 765670, 9190, 407);"
26/08/2020;2020-8-26;776135;10465;282;;;"INSERT INTO dados_estado_sp VALUES('2020-8-26', 776135, 10465, 282);"
27/08/2020;2020-8-27;784453;8318;221;;;"INSERT INTO dados_estado_sp VALUES('2020-8-27', 784453, 8318, 221);"
28/08/2020;2020-8-28;796209;11756;279;;;"INSERT INTO dados_estado_sp VALUES('2020-8-28', 796209, 11756, 279);"
29/08/2020;2020-8-29;801422;5213;250;;;"INSERT INTO dados_estado_sp VALUES('2020-8-29', 801422, 5213, 250);"
30/08/2020;2020-8-30;803404;1982;34;;;"INSERT INTO dados_estado_sp VALUES('2020-8-30', 803404, 1982, 34);"
31/08/2020;2020-8-31;804342;938;36;;;"INSERT INTO dados_estado_sp VALUES('2020-8-31', 804342, 938, 36);"
01/09/2020;2020-9-1;814375;10033;361;;;"INSERT INTO dados_estado_sp VALUES('2020-9-1', 814375, 10033, 361);"
02/09/2020;2020-9-2;826331;11956;298;;;"INSERT INTO dados_estado_sp VALUES('2020-9-2', 826331, 11956, 298);"
03/09/2020;2020-9-3;837978;11647;232;;;"INSERT INTO dados_estado_sp VALUES('2020-9-3', 837978, 11647, 232);"
04/09/2020;2020-9-4;845016;7038;186;;;"INSERT INTO dados_estado_sp VALUES('2020-9-4', 845016, 7038, 186);"
05/09/2020;2020-9-5;853085;8069;222;;;"INSERT INTO dados_estado_sp VALUES('2020-9-5', 853085, 8069, 222);"
06/09/2020;2020-9-6;855722;2637;40;;;"INSERT INTO dados_estado_sp VALUES('2020-9-6', 855722, 2637, 40);"
07/09/2020;2020-9-7;857330;1608;24;;;"INSERT INTO dados_estado_sp VALUES('2020-9-7', 857330, 1608, 24);"
08/09/2020;2020-9-8;858783;1453;53;;;"INSERT INTO dados_estado_sp VALUES('2020-9-8', 858783, 1453, 53);"
09/09/2020;2020-9-9;866576;7793;391;;;"INSERT INTO dados_estado_sp VALUES('2020-9-9', 866576, 7793, 391);"
10/09/2020;2020-9-10;874754;8178;283;;;"INSERT INTO dados_estado_sp VALUES('2020-9-10', 874754, 8178, 283);"
11/09/2020;2020-9-11;882809;8055;234;;;"INSERT INTO dados_estado_sp VALUES('2020-9-11', 882809, 8055, 234);"
12/09/2020;2020-9-12;890690;7881;229;;;"INSERT INTO dados_estado_sp VALUES('2020-9-12', 890690, 7881, 229);"
13/09/2020;2020-9-13;892257;1567;39;;;"INSERT INTO dados_estado_sp VALUES('2020-9-13', 892257, 1567, 39);"
14/09/2020;2020-9-14;893349;1092;36;;;"INSERT INTO dados_estado_sp VALUES('2020-9-14', 893349, 1092, 36);"
15/09/2020;2020-9-15;901271;7922;321;;;"INSERT INTO dados_estado_sp VALUES('2020-9-15', 901271, 7922, 321);"
16/09/2020;2020-9-16;909428;8157;290;;;"INSERT INTO dados_estado_sp VALUES('2020-9-16', 909428, 8157, 290);"
17/09/2020;2020-9-17;916821;7393;219;;;"INSERT INTO dados_estado_sp VALUES('2020-9-17', 916821, 7393, 219);"
18/09/2020;2020-9-18;924532;7711;206;;;"INSERT INTO dados_estado_sp VALUES('2020-9-18', 924532, 7711, 206);"
19/09/2020;2020-9-19;931673;7141;249;;;"INSERT INTO dados_estado_sp VALUES('2020-9-19', 931673, 7141, 249);"
20/09/2020;2020-9-20;935300;3627;25;;;"INSERT INTO dados_estado_sp VALUES('2020-9-20', 935300, 3627, 25);"
21/09/2020;2020-9-21;937332;2032;32;;;"INSERT INTO dados_estado_sp VALUES('2020-9-21', 937332, 2032, 32);"
22/09/2020;2020-9-22;945422;8090;282;;;"INSERT INTO dados_estado_sp VALUES('2020-9-22', 945422, 8090, 282);"
23/09/2020;2020-9-23;951973;6551;226;;;"INSERT INTO dados_estado_sp VALUES('2020-9-23', 951973, 6551, 226);"
24/09/2020;2020-9-24;958240;6267;185;;;"INSERT INTO dados_estado_sp VALUES('2020-9-24', 958240, 6267, 185);"
25/09/2020;2020-9-25;964921;6681;200;;;"INSERT INTO dados_estado_sp VALUES('2020-9-25', 964921, 6681, 200);"
26/09/2020;2020-9-26;970888;5967;186;;;"INSERT INTO dados_estado_sp VALUES('2020-9-26', 970888, 5967, 186);"
27/09/2020;2020-9-27;972237;1349;45;;;"INSERT INTO dados_estado_sp VALUES('2020-9-27', 972237, 1349, 45);"
