Cod_IBGE;Grande região;Município;Município;Mun_Total de casos;Mun_Total de óbitos;Estado;País
3519402;Interior;Ibirá;Ibirá, São Paulo, Brasil;2727;54;São Paulo;Brasil
3519501;Interior;Ibirarema;Ibirarema, São Paulo, Brasil;1227;38;São Paulo;Brasil
3519600;Interior;Ibitinga;Ibitinga, São Paulo, Brasil;15900;311;São Paulo;Brasil
3519709;Interior;Ibiúna;Ibiúna, São Paulo, Brasil;5356;163;São Paulo;Brasil
3519808;Interior;Icém;Icém, São Paulo, Brasil;2095;40;São Paulo;Brasil
3519907;Interior;Iepê;Iepê, São Paulo, Brasil;1848;36;São Paulo;Brasil
3520004;Interior;Igaraçu do Tietê;Igaraçu do Tietê, São Paulo, Brasil;5660;76;São Paulo;Brasil
3520103;Interior;Igarapava;Igarapava, São Paulo, Brasil;1418;109;São Paulo;Brasil
3520202;Interior;Igaratá;Igaratá, São Paulo, Brasil;2473;42;São Paulo;Brasil
3520301;Interior;Iguape;Iguape, São Paulo, Brasil;5794;125;São Paulo;Brasil
3520400;Interior;Ilhabela;Ilhabela, São Paulo, Brasil;7500;52;São Paulo;Brasil
3520426;Interior;Ilha Comprida;Ilha Comprida, São Paulo, Brasil;4252;65;São Paulo;Brasil
3520442;Interior;Ilha Solteira;Ilha Solteira, São Paulo, Brasil;4461;123;São Paulo;Brasil
3520509;Interior;Indaiatuba;Indaiatuba, São Paulo, Brasil;28553;888;São Paulo;Brasil
3520608;Interior;Indiana;Indiana, São Paulo, Brasil;459;14;São Paulo;Brasil
3520707;Interior;Indiaporã;Indiaporã, São Paulo, Brasil;1359;14;São Paulo;Brasil
3520806;Interior;Inúbia Paulista;Inúbia Paulista, São Paulo, Brasil;1374;22;São Paulo;Brasil
3520905;Interior;Ipaussu;Ipaussu, São Paulo, Brasil;4665;57;São Paulo;Brasil
3521002;Interior;Iperó;Iperó, São Paulo, Brasil;6293;78;São Paulo;Brasil
3521101;Interior;Ipeúna;Ipeúna, São Paulo, Brasil;789;24;São Paulo;Brasil
3521150;Interior;Ipiguá;Ipiguá, São Paulo, Brasil;2042;33;São Paulo;Brasil
3521200;Interior;Iporanga;Iporanga, São Paulo, Brasil;954;9;São Paulo;Brasil
3521309;Interior;Ipuã;Ipuã, São Paulo, Brasil;2830;70;São Paulo;Brasil
3521408;Interior;Iracemápolis;Iracemápolis, São Paulo, Brasil;6916;113;São Paulo;Brasil
3521507;Interior;Irapuã;Irapuã, São Paulo, Brasil;1571;34;São Paulo;Brasil
3521606;Interior;Irapuru;Irapuru, São Paulo, Brasil;1914;44;São Paulo;Brasil
3521705;Interior;Itaberá;Itaberá, São Paulo, Brasil;5867;80;São Paulo;Brasil
3521804;Interior;Itaí;Itaí, São Paulo, Brasil;7696;95;São Paulo;Brasil
3521903;Interior;Itajobi;Itajobi, São Paulo, Brasil;5576;74;São Paulo;Brasil
3522000;Interior;Itaju;Itaju, São Paulo, Brasil;1005;14;São Paulo;Brasil
3522109;Interior;Itanhaém;Itanhaém, São Paulo, Brasil;14110;420;São Paulo;Brasil
3522158;Interior;Itaoca;Itaoca, São Paulo, Brasil;287;8;São Paulo;Brasil
3522208;RMSP (exceto capital);Itapecerica da Serra;Itapecerica da Serra, São Paulo, Brasil;13109;501;São Paulo;Brasil
3522307;Interior;Itapetininga;Itapetininga, São Paulo, Brasil;18292;617;São Paulo;Brasil
3522406;Interior;Itapeva;Itapeva, São Paulo, Brasil;23603;478;São Paulo;Brasil
3522505;RMSP (exceto capital);Itapevi;Itapevi, São Paulo, Brasil;13104;782;São Paulo;Brasil
3522604;Interior;Itapira;Itapira, São Paulo, Brasil;17322;378;São Paulo;Brasil
3522653;Interior;Itapirapuã Paulista;Itapirapuã Paulista, São Paulo, Brasil;1352;8;São Paulo;Brasil
3522703;Interior;Itápolis;Itápolis, São Paulo, Brasil;14771;187;São Paulo;Brasil
3522802;Interior;Itaporanga;Itaporanga, São Paulo, Brasil;3296;62;São Paulo;Brasil
3522901;Interior;Itapuí;Itapuí, São Paulo, Brasil;2618;49;São Paulo;Brasil
3523008;Interior;Itapura;Itapura, São Paulo, Brasil;684;17;São Paulo;Brasil
3523107;RMSP (exceto capital);Itaquaquecetuba;Itaquaquecetuba, São Paulo, Brasil;32744;1172;São Paulo;Brasil
3523206;Interior;Itararé;Itararé, São Paulo, Brasil;10967;278;São Paulo;Brasil
3523305;Interior;Itariri;Itariri, São Paulo, Brasil;1960;55;São Paulo;Brasil
3523404;Interior;Itatiba;Itatiba, São Paulo, Brasil;29159;390;São Paulo;Brasil
3523503;Interior;Itatinga;Itatinga, São Paulo, Brasil;4615;70;São Paulo;Brasil
3523602;Interior;Itirapina;Itirapina, São Paulo, Brasil;3049;51;São Paulo;Brasil
3523701;Interior;Itirapuã;Itirapuã, São Paulo, Brasil;324;8;São Paulo;Brasil
